metric,scope,dimensions,unit,description,chart_type,labels,plugin,module
uwsgi.requests,,a dimension per worker: requests_{worker_id},requests/s,Requests,stacked,,python.d.plugin,uwsgi
uwsgi.tx,,a dimension per worker: tx_{worker_id},KiB/s,Transmitted data,stacked,,python.d.plugin,uwsgi
uwsgi.avg_rt,,a dimension per worker: avg_rt_{worker_id},milliseconds,Average request time,line,,python.d.plugin,uwsgi
uwsgi.memory_rss,,a dimension per worker: memory_rss_{worker_id},MiB,RSS (Resident Set Size),stacked,,python.d.plugin,uwsgi
uwsgi.memory_vsz,,a dimension per worker: memory_vsz_{worker_id},MiB,VSZ (Virtual Memory Size),stacked,,python.d.plugin,uwsgi
uwsgi.exceptions,,exceptions,exceptions,Exceptions,line,,python.d.plugin,uwsgi
uwsgi.harakiris,,harakiris,harakiris,Harakiris,line,,python.d.plugin,uwsgi
uwsgi.respawns,,respawns,respawns,Respawns,line,,python.d.plugin,uwsgi
