metric,scope,dimensions,unit,description,chart_type,labels,plugin,module
zscores.z,,a dimension per chart or dimension,z,Z Score,line,,python.d.plugin,zscores
zscores.3stddev,,a dimension per chart or dimension,count,Z Score >3,stacked,,python.d.plugin,zscores
